Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Discription,Mild Treatment,Intense Treatment,Precaution,Exercise
Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up,"A drug reaction is an adverse response to medication, ranging from mild rashes to severe anaphylaxis. It can occur immediately or after prolonged use.",Discontinuation of the offending drug and supportive care.,"Emergency treatment if severe (e.g., anaphylaxis), such as epinephrine and hospitalization.","Avoidance of known allergens, alerting healthcare providers of drug allergies.","Light activity, 20 minutes, daily; gentle stretching, 15 minutes, daily."
Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,"Malaria is a life-threatening disease caused by Plasmodium parasites transmitted through the bites of infected Anopheles mosquitoes. Symptoms include fever, chills, and flu-like illness.","Antimalarial drugs, rest.","Intravenous antimalarials, supportive care.","Use insect repellent, sleep under mosquito nets.","Rest during recovery; Light walking, 10 minutes, daily after recovery."
Allergy,apply calamine,cover area with bandage,,use ice to compress itching,"Allergies are immune responses to specific substances (allergens) causing symptoms such as sneezing, itching, and hives. They can be triggered by food, pollen, dust, or other irritants.","Antihistamines, avoidance of known allergens, and use of allergy-proof bedding.","Immunotherapy (allergy shots) for severe cases, and avoidance of triggers.","Regular use of prescribed medications, and keeping living areas clean.","Moderate aerobic exercise, 20 minutes, daily; gentle stretching, 15 minutes, daily."
Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep,"Hypothyroidism is a condition where the thyroid gland does not produce enough thyroid hormones, leading to fatigue, weight gain, and depression.",Thyroid hormone replacement therapy (levothyroxine),"Same as mild, requires long-term management.","Regular thyroid function tests, consistent medication intake.","Yoga, 30 minutes daily."
Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"Psoriasis is a chronic autoimmune condition that causes rapid skin cell turnover, leading to red, scaly patches on the skin.","Topical treatments (steroids, vitamin D analogues).","Phototherapy, systemic medications.","Moisturize regularly, avoid skin injuries.","Swimming, 30 minutes daily."
GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"GERD is a chronic digestive condition where stomach acid frequently leaks into the esophagus, causing heartburn, regurgitation, and discomfort.","Antacids, proton pump inhibitors (PPIs), and dietary modifications.",Prescription-strength medications or surgery if lifestyle changes and medications are ineffective.,"Avoid trigger foods, eat smaller meals, and avoid lying down after eating.","Light aerobic exercise, 20 minutes, daily; gentle stretching, 15 minutes, daily."
Chronic cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy,"Chronic cholestasis is a liver condition where bile flow is impaired, leading to the accumulation of bile acids in the liver. Symptoms include jaundice and itching.","Medications to manage symptoms, such as ursodeoxycholic acid.","Treatment of underlying causes, such as liver disease, and possibly liver transplantation in severe cases.","Regular liver function monitoring, dietary adjustments to support liver health.","Gentle aerobic exercise, 20 minutes, daily; light stretching, 15 minutes, daily."
hepatitis A,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,"Hepatitis A is a viral liver infection caused by the hepatitis A virus (HAV). It is usually spread through ingestion of contaminated food or water and leads to symptoms such as fatigue, nausea, abdominal pain, and jaundice.","Rest, hydration.","Supportive care, hospitalization for severe cases.","Vaccination, maintain good hygiene.","Gentle walking, 20 minutes, daily; Light stretching, 10 minutes, daily."
Osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths,"Osteoarthritis is a degenerative joint disease where the cartilage that cushions the ends of the bones wears down, causing pain and stiffness.","Pain relievers (acetaminophen), physical therapy.","Joint injections, joint replacement surgery.","Maintain a healthy weight, avoid joint overuse.","Low-impact aerobic exercise, 30 minutes daily."
(vertigo) Paroymsal Positional Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax,"Benign Paroxysmal Positional Vertigo (BPPV) is a disorder arising from a problem in the inner ear, causing brief episodes of dizziness with changes in head position.","Epley maneuver, vestibular rehabilitation exercises.","Medication (e.g., meclizine), surgery in rare cases.","Avoid sudden head movements, use support when dizzy.","Balance exercises, 15 minutes daily."
Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor,"Hypoglycemia occurs when blood sugar levels drop too low, leading to symptoms such as shakiness, confusion, and fainting. It often affects people with diabetes.","Consume fast-acting carbohydrates (e.g., glucose tablets, fruit juice).","Glucagon injection, hospitalization if severe.","Regular blood sugar monitoring, carry glucose tablets.","Moderate exercise (walking), 30 minutes daily."
Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,"Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells, leading to pimples, blackheads, and cysts.","Topical treatments (benzoyl peroxide, salicylic acid).","Oral antibiotics, isotretinoin.","Avoid heavy makeup, keep skin clean.","Not specific for acne, general fitness recommended."
Diabetes,have balanced diet,exercise,consult doctor,follow up,"Diabetes is a metabolic disease that causes high blood sugar. The hormone insulin moves sugar from the blood into your cells to be stored or used for energy. With diabetes, your body either doesn't make enough insulin or can't effectively use the insulin it does make.","Diet modification, oral medications.","Insulin therapy, regular monitoring.","Regular blood sugar monitoring, maintain a balanced diet.","Brisk walking, 30 minutes, daily; Cycling, 30 minutes, 3 times a week."
Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,"Impetigo is a highly contagious bacterial skin infection, most common in young children. It causes red sores that can rupture, ooze, and form a yellow-brown crust.",Topical antibiotics (mupirocin).,Oral antibiotics for widespread infection.,"Maintain good hygiene, avoid close contact with infected individuals.","Not specific for impetigo, general fitness recommended"
Hypertension,meditation,salt baths,reduce stress,get proper sleep,"Hypertension, or high blood pressure, is a condition in which the force of the blood against the artery walls is too high, often leading to heart disease and stroke. It can be managed through lifestyle changes and medication.","Lifestyle changes, antihypertensive drugs.","Combination drug therapy, regular monitoring.","Low-sodium diet, regular blood pressure checks.","Brisk walking, 30 minutes, daily; Yoga, 20 minutes, 3 times a week."
Peptic ulcer diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"Peptic ulcer disease involves sores on the lining of the stomach, small intestine, or esophagus, caused by H. pylori infection or NSAID use, leading to abdominal pain and indigestion","Acid reducers (PPIs or H2 blockers), antibiotics for H. pylori infection.",Surgery in severe cases with complications such as bleeding or perforation.,"Avoid NSAIDs, limit alcohol and caffeine, follow prescribed medication regimen.","Light abdominal exercises, 15 minutes, daily; low-impact walking, 30 minutes, daily."
Dimorphic hemmorhoids(piles),avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice,"Hemorrhoids are swollen veins in the lower rectum and anus, which can cause discomfort, bleeding, and itching. They are classified as internal or external.","High-fiber diet, over-the-counter creams.","Rubber band ligation, surgical removal.","Avoid straining during bowel movements, stay hydrated.","Kegel exercises, 10 minutes twice daily."
Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,"The common cold is a viral infection of the upper respiratory tract, usually caused by rhinoviruses. Symptoms include a runny nose, sore throat, cough, and sneezing.","Rest, over-the-counter cold medications.","Not applicable, supportive care.","Good hygiene, avoid close contact with infected individuals.","Light stretching, 10 minutes daily."
Chicken pox,use neem in bathing ,consume neem leaves,take vaccine,avoid public places,"Chickenpox is a highly contagious viral infection causing an itchy, blister-like rash on the skin. It is caused by the varicella-zoster virus and is most common in children.","Antihistamines, calamine lotion.","Antiviral medications, hospitalization if complications arise.","Avoid scratching, stay isolated to prevent spreading","Rest during acute phase; Gentle stretching, 10 minutes, daily during recovery."
Cervical spondylosis,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,"Cervical spondylosis is a degenerative condition of the cervical spine, often caused by aging and wear and tear on the bones and cartilage in the neck. Symptoms include neck pain and stiffness, headaches, and sometimes neurological symptoms.","Physical therapy, pain relievers."," Cervical collar, surgery in severe cases.","Good posture, ergonomic adjustments","Neck stretches, 10 minutes, daily; Gentle yoga, 20 minutes, 3 times a week"
Hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment,"Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone, causing weight loss, rapid heartbeat, and anxiety.","Antithyroid medications (e.g., methimazole), beta-blockers.","Radioactive iodine therapy, thyroidectomy.","Regular monitoring, avoid excessive iodine intake.","Walking, 30 minutes daily."
Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,"A urinary tract infection (UTI) is an infection in any part of the urinary system, most commonly the bladder and urethra. Symptoms include a strong, persistent urge to urinate, burning sensation when urinating.","Antibiotics, increased fluid intake.","Hospitalization for severe cases, intravenous antibiotics.","Urinate frequently, wipe from front to back.","Walking, 30 minutes daily."
Varicose veins,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,"Varicose veins are enlarged, twisted veins often appearing in the legs, caused by faulty valves that allow blood to pool. Symptoms include aching, swelling, and visible veins.","Compression stockings, leg elevation.","Sclerotherapy, vein stripping.","Avoid prolonged standing, maintain a healthy weight.","Walking, 30 minutes daily."
AIDS,avoid open cuts,wear ppe if possible,consult doctor,follow up,"AIDS (Acquired Immunodeficiency Syndrome) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). HIV damages the immune system, interfering with the body's ability to fight infections and diseases. It is primarily spread through unprotected sex, contaminated needles, and from mother to child during birth or breastfeeding.","Antiretroviral therapy (ART), regular follow-ups.","Advanced ART regimens, treatment of opportunistic infections.","Safe sex practices, avoid sharing needles.","Walking, 30 minutes, daily; Strength training, 20 minutes, 3 times a week."
Paralysis (brain hemorrhage),massage,eat healthy,exercise,consult doctor,"Paralysis due to brain hemorrhage occurs when there is bleeding in or around the brain, leading to loss of muscle function in part of the body. This can result from stroke, trauma, or aneurysm.","Physical rehabilitation, medications to manage symptoms.","Surgery to relieve pressure, intensive rehabilitation.","Control blood pressure, avoid head injuries.","Passive range-of-motion exercises, 20 minutes, daily; Assisted walking, as tolerated."
Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication,"Typhoid fever is a bacterial infection caused by Salmonella typhi, spread through contaminated food and water. Symptoms include prolonged fever, abdominal pain, and a rash.","Antibiotics, hydration.","IV antibiotics, hospitalization for severe cases.","Drink clean water, maintain good hygiene.","Rest during acute phase; Gentle walking, 15 minutes, daily during recovery."
Hepatitis B,consult nearest hospital,vaccination,eat healthy,medication,"Hepatitis B is a viral infection that attacks the liver and can cause both acute and chronic disease. It is transmitted through contact with infectious body fluids, such as blood, semen, and vaginal fluids.","Antiviral medications, regular monitoring.","Liver transplantation in severe cases, advanced antiviral therapy.","Vaccination, avoid sharing needles.","Walking, 30 minutes, daily; Strength training, 20 minutes, 3 times a week."
Fungal infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"Fungal infections occur when fungi invade and grow on the skin, nails, or mucous membranes. Symptoms vary depending on the type of fungus and location but often include itching and rash.",Topical antifungal creams or ointments.,Oral antifungal medications for widespread or resistant infections.,"Keep affected areas dry, avoid sharing personal items, and follow treatment instructions.","Low-impact exercises, 20 minutes, daily; gentle stretching, 15 minutes, daily."
Hepatitis C,Consult nearest hospital,vaccination,eat healthy,medication,"Hepatitis C is a viral infection that causes liver inflammation, sometimes leading to serious liver damage. It is primarily spread through blood-to-blood contact.","Antiviral medications, regular monitoring.","Direct-acting antivirals, liver transplantation in severe cases.","Avoid sharing needles, practice safe sex.","Walking, 30 minutes, daily; Yoga, 20 minutes, 3 times a week."
Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor,"Migraine is a neurological condition characterized by intense, debilitating headaches often accompanied by nausea, vomiting, and sensitivity to light and sound. Migraine attacks can last for hours to days.","NSAIDs, rest in a dark room.","Triptans, preventive medications.","Avoid known triggers, maintain a regular sleep schedule.","Gentle yoga, 20 minutes, daily; Walking, 30 minutes, daily."
Bronchial Asthma,switch to loose cloothing,take deep breaths,get away from trigger,seek help,"Bronchial asthma is a chronic inflammatory disease of the airways characterized by variable and recurring symptoms, airflow obstruction, and bronchospasm. Symptoms include wheezing, coughing, chest tightness, and shortness of breath.","Inhalers, avoid triggers.","Long-term inhaled corticosteroids, oral steroids during severe attacks.","Avoid allergens, regular medication.","Breathing exercises, 15 minutes, daily; Swimming, 30 minutes, 3 times a week."
Alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up,"Alcoholic hepatitis is liver inflammation caused by excessive alcohol consumption. It can lead to liver scarring (cirrhosis) and liver failure. Symptoms include jaundice, abdominal pain, and nausea.","Abstain from alcohol, take prescribed vitamins (e.g., thiamine).","Corticosteroids, liver transplant.","Avoid alcohol, regular monitoring by a healthcare provider.","Walking, 30 minutes daily."
Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,"Jaundice is a condition characterized by yellowing of the skin and eyes due to high bilirubin levels. It is often a sign of an underlying issue such as liver disease, hemolysis, or bile duct obstruction.","Rest, hydration.","Treatment of underlying cause, phototherapy in newborns.","Avoid alcohol, maintain a healthy diet.","Gentle walking, 20 minutes, daily; Light stretching, 10 minutes, daily."
Hepatitis E,stop alcohol consumption,rest,consult doctor,medication,"Hepatitis E is a liver disease caused by the hepatitis E virus (HEV). It is typically spread through contaminated drinking water and causes symptoms like jaundice, fatigue, and abdominal pain.","Rest, hydration.","Supportive care, hospitalization for severe cases.","Drink clean water, maintain good hygiene.",Gentle walking
Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,"Dengue is a mosquito-borne viral infection causing flu-like symptoms, including severe headache, joint and muscle pain, rash, and bleeding tendencies. It can progress to severe dengue, which is potentially fatal.","Hydration, acetaminophen for pain.","Hospitalization, IV fluids, blood transfusions.","Avoid mosquito bites, use insect repellent.","Rest during acute phase; Light walking, 10 minutes, daily during recovery."
Hepatitis D,consult doctor,medication,eat healthy,follow up,"Hepatitis D is a serious liver disease caused by the hepatitis D virus (HDV), which relies on hepatitis B virus for its replication. It is transmitted through contact with infected blood or body fluids.","Antiviral medications, regular monitoring.","Interferon therapy, liver transplantation in severe cases.","Vaccination for hepatitis B, avoid sharing needles.","Gentle walking, 20 minutes, daily; Light stretching, 10 minutes, daily."
Heart attack,call ambulance,chew or swallow asprin,keep calm,,"A heart attack occurs when blood flow to a part of the heart is blocked for a long enough time that part of the heart muscle is damaged or dies. Symptoms include chest pain, shortness of breath, and nausea.","Aspirin, nitroglycerin.","Angioplasty, coronary artery bypass surgery.","Regular cardiovascular check-ups, healthy diet","Walking, 30 minutes daily."
Pneumonia,consult doctor,medication,rest,follow up,"Pneumonia is an infection that inflames the air sacs in one or both lungs, which may fill with fluid. It can be caused by bacteria, viruses, or fungi. Symptoms include cough, fever, and difficulty breathing.","Antibiotics for bacterial pneumonia, rest, fluids.","Hospitalization, intravenous antibiotics, oxygen therapy.","Vaccination, avoid smoking.","Deep breathing exercises, 15 minutes twice daily."
Arthritis,exercise,use hot and cold therapy,try acupuncture,massage,"Arthritis is inflammation of one or more joints, causing pain and stiffness that can worsen with age. There are many types, including rheumatoid arthritis and osteoarthritis.","NSAIDs, physical therapy.","Disease-modifying antirheumatic drugs (DMARDs), biologics.","Regular exercise, avoid joint strain.","Swimming, 30 minutes daily."
Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"Gastroenteritis is an inflammation of the stomach and intestines, typically resulting from a viral or bacterial infection. Symptoms include diarrhea, vomiting, abdominal pain, and fever.","Hydration, rest.","IV fluids, antibiotics if bacterial.","Avoid contaminated food and water, practice good hygiene.","Light stretching, 10 minutes, daily; Walking, 15 minutes, daily."
Tuberculosis,cover mouth,consult doctor,medication,rest,"Tuberculosis (TB) is a bacterial infection caused by Mycobacterium tuberculosis, primarily affecting the lungs but can spread to other organs. Symptoms include persistent cough, weight loss, and night sweats.","First-line anti-TB drugs (e.g., isoniazid, rifampicin) for six months.","Extended or second-line drug therapy, possibly surgery.","Isolation during contagious period, regular follow-ups.","Breathing exercises, 15 minutes twice daily."
